School,Opponent,Date,Season,AtHome,NeutralLocation,Score,OppScore,Total,Outcome,Spread,Season.Type,GameNumber,PassCmp,PassAtt,PassPct,PassYds,PassTD,RushAtt,RushYds,RushAvg,RushTD,XPM,XPA,XPPercent,FGM,FGA,FGPercent,KickPts,Fum,Int,TotalTO,SeasonRanking,OppSeasonRanking,RankDiff,OppPassCmp,OppPassAtt,OppPassPct,OppPassYds,OppPassTD,OppRushAtt,OppRushYds,OppRushAvg,OppRushTD,OppXPM,OppXPA,OppXPPercent,OppFGM,OppFGA,OppFGPercent,OppKickPts,OppFum,OppInt,OppTotalTO
Memphis,Central Florida,2018-10-13,2018-19,1,0,30,31,61,L,-1,Regular,7,18.833333333333332,29.916666666666668,64.25833333333334,257.4166666666667,2.25,44.833333333333336,289.9166666666667,6.3999999999999995,3.5833333333333335,5.75,6.0,95.48333333333333,1.25,1.5833333333333333,76.39166666666667,9.5,0.3333333333333333,0.6666666666666666,1.0,26.0,12.6,13.4,15.285714285714286,29.0,52.857142857142854,252.42857142857142,2.142857142857143,45.285714285714285,261.14285714285717,5.642857142857143,3.0,5.285714285714286,5.285714285714286,100.0,1.4285714285714286,1.7142857142857142,85.71428571428571,9.571428571428571,0.2857142857142857,0.42857142857142855,0.7142857142857143
California,UCLA,2018-10-13,2018-19,1,0,7,37,44,L,-30,Regular,6,20.625,34.75,58.8125,195.0,1.25,38.625,158.5,4.1125,0.875,2.5,2.5,100.0,1.25,1.75,72.92500000000001,6.25,0.875,1.75,2.625,26.0,26.0,0.0,21.3,35.3,62.35,244.8,1.1,36.9,161.5,4.43,1.7,3.0,3.0,100.0,1.4,1.9,66.67,7.2,0.5,0.8,1.3
Notre Dame,Pittsburgh,2018-10-13,2018-19,1,0,19,14,33,W,5,Regular,7,19.555555555555557,30.77777777777778,62.81111111111112,248.88888888888889,1.8888888888888888,42.22222222222222,180.44444444444446,4.155555555555555,1.6666666666666667,3.3333333333333335,3.4444444444444446,97.77777777777777,1.4444444444444444,1.8888888888888888,80.55555555555556,7.666666666666667,0.1111111111111111,1.1111111111111112,1.2222222222222223,5.333333333333333,24.0,-18.666666666666668,10.375,20.25,50.81249999999999,122.125,0.5,41.0,268.5,6.499999999999999,2.75,3.25,3.25,100.0,1.5,1.875,83.3375,7.75,0.625,0.375,1.0
Arkansas,Mississippi,2018-10-13,2018-19,1,0,33,37,70,L,-4,Regular,7,17.77777777777778,31.0,58.044444444444444,208.33333333333334,1.8888888888888888,36.44444444444444,161.11111111111111,4.122222222222223,1.2222222222222223,3.2222222222222223,3.2222222222222223,100.0,1.7777777777777777,2.111111111111111,85.1888888888889,8.555555555555555,0.4444444444444444,1.6666666666666667,2.111111111111111,26.0,26.0,0.0,25.875,40.625,64.15,359.5,1.25,35.375,167.625,4.737500000000001,1.875,3.25,3.25,100.0,2.625,3.25,76.0375,11.125,0.375,0.625,1.0
Auburn,Tennessee,2018-10-13,2018-19,1,0,24,30,54,L,-6,Regular,7,18.571428571428573,29.714285714285715,62.642857142857146,211.0,1.2857142857142858,38.714285714285715,164.85714285714286,4.114285714285714,1.8571428571428572,3.4285714285714284,3.4285714285714284,100.0,1.2857142857142858,2.4285714285714284,51.18571428571429,7.285714285714286,0.2857142857142857,0.5714285714285714,0.8571428571428571,10.714285714285714,26.0,-15.285714285714286,15.0,25.25,58.5875,209.875,1.25,36.625,134.0,3.3375,1.0,2.5,2.5,100.0,1.125,1.5,71.875,5.875,1.25,0.5,1.75
Virginia,Miami (FL),2018-10-13,2018-19,1,0,16,13,29,W,3,Regular,6,16.555555555555557,26.333333333333332,62.900000000000006,200.0,1.7777777777777777,39.111111111111114,176.55555555555554,4.355555555555555,1.5555555555555556,3.3333333333333335,3.3333333333333335,100.0,1.5555555555555556,2.111111111111111,75.93333333333334,8.0,0.5555555555555556,0.7777777777777778,1.3333333333333333,22.0,17.875,4.125,14.0,27.857142857142858,51.1,177.28571428571428,1.5714285714285714,36.57142857142857,181.71428571428572,5.1428571428571415,1.2857142857142858,3.4285714285714284,3.5714285714285716,97.61428571428571,1.1428571428571428,1.4285714285714286,78.57142857142857,6.857142857142857,0.7142857142857143,1.0,1.7142857142857142
Vanderbilt,Florida,2018-10-13,2018-19,1,0,27,37,64,L,-10,Regular,7,20.818181818181817,32.63636363636363,64.26363636363637,255.0909090909091,1.9090909090909092,33.0,173.63636363636363,5.472727272727273,1.7272727272727273,3.6363636363636362,3.6363636363636362,100.0,1.1818181818181819,2.0,56.06363636363637,7.181818181818182,0.6363636363636364,0.45454545454545453,1.0909090909090908,26.0,14.2,11.8,16.0,27.2,59.489999999999995,209.6,2.1,40.9,218.4,5.32,1.8,4.1,4.1,100.0,1.7,1.9,85.0,9.2,0.5,0.4,0.9
Texas,Baylor,2018-10-13,2018-19,1,0,23,17,40,W,6,Regular,7,21.88888888888889,32.666666666666664,67.43333333333334,239.88888888888889,1.8888888888888888,42.333333333333336,154.0,3.688888888888888,1.3333333333333333,3.3333333333333335,3.3333333333333335,100.0,1.7777777777777777,2.5555555555555554,73.33333333333333,8.666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,15.333333333333334,26.0,-10.666666666666666,23.6,39.0,60.029999999999994,287.3,1.7,36.9,166.2,4.450000000000001,1.7,3.0,3.4,80.84,1.4,2.2,65.0,7.2,0.5,0.7,1.2
Alabama,Missouri,2018-10-13,2018-19,1,0,39,10,49,W,29,Regular,7,20.666666666666668,29.555555555555557,70.65555555555555,335.6666666666667,3.7777777777777777,37.0,195.88888888888889,5.433333333333334,2.0,5.444444444444445,6.222222222222222,87.25555555555555,1.3333333333333333,1.5555555555555556,93.52222222222223,9.444444444444445,0.6666666666666666,0.3333333333333333,1.0,1.0,23.5,-22.5,21.615384615384617,34.69230769230769,62.48461538461538,279.38461538461536,2.1538461538461537,42.53846153846154,202.3846153846154,4.684615384615385,2.076923076923077,3.923076923076923,4.153846153846154,95.93846153846154,1.9230769230769231,2.6153846153846154,68.97692307692309,9.692307692307692,0.5384615384615384,0.6153846153846154,1.1538461538461537
Arizona State,Stanford,2018-10-18,2018-19,1,0,13,20,33,L,-7,Regular,7,18.181818181818183,29.727272727272727,62.04545454545453,222.45454545454547,1.2727272727272727,40.0,190.1818181818182,4.536363636363636,2.090909090909091,3.1818181818181817,3.1818181818181817,100.0,1.6363636363636365,2.0,77.27272727272727,8.090909090909092,0.36363636363636365,0.6363636363636364,1.0,25.0,14.555555555555555,10.444444444444445,21.88888888888889,32.55555555555556,66.76666666666668,277.55555555555554,2.4444444444444446,28.77777777777778,97.44444444444444,3.4333333333333336,0.8888888888888888,3.111111111111111,3.2222222222222223,96.30000000000001,1.3333333333333333,1.4444444444444444,88.88888888888889,7.111111111111111,0.2222222222222222,0.6666666666666666,0.8888888888888888
