School,Opponent,Date,Season,AtHome,NeutralLocation,Score,OppScore,Total,Outcome,Spread,Season.Type,GameNumber,PassCmp,PassAtt,PassPct,PassYds,PassTD,RushAtt,RushYds,RushAvg,RushTD,XPM,XPA,XPPercent,FGM,FGA,FGPercent,KickPts,Fum,Int,TotalTO,SeasonRanking
Texas State,Georgia State,2019-09-21,2019-20,1,0,37,34,71,W,3,Regular,4,16,25,64.0,129,0,50,221,4.4,3,4,4,100.0,3,4,75.0,13,0,0,0,-1.0
Tulsa,Wyoming,2019-09-21,2019-20,1,0,24,21,45,W,3,Regular,4,25,50,50.0,354,2,43,83,1.9,1,3,3,100.0,1,2,50.0,6,1,0,1,-1.0
Alabama-Birmingham,South Alabama,2019-09-21,2019-20,1,0,35,3,38,W,32,Regular,3,22,28,78.6,313,3,45,201,4.5,2,5,5,100.0,0,1,0.0,5,0,2,2,-1.0
San Jose State,New Mexico,2019-10-04,2019-20,1,0,32,21,53,W,11,Regular,5,26,39,66.7,412,2,34,52,1.5,1,2,3,66.7,4,5,80.0,14,1,0,1,-1.0
East Carolina,Temple,2019-10-03,2019-20,1,0,17,27,44,L,-10,Regular,6,19,39,48.7,229,2,34,98,2.9,0,2,2,100.0,1,2,50.0,5,0,0,0,-1.0
South Alabama,Georgia Southern,2019-10-03,2019-20,1,0,17,20,37,L,-3,Regular,6,8,15,53.3,194,2,24,53,2.2,0,2,2,100.0,1,2,50.0,5,1,0,1,-1.0
Alabama,Mississippi,2019-09-28,2019-20,1,0,59,31,90,W,28,Regular,5,26,37,70.3,418,6,29,157,5.4,1,8,8,100.0,1,2,50.0,11,1,0,1,-1.0
Arizona,UCLA,2019-09-28,2019-20,1,0,20,17,37,W,3,Regular,4,29,44,65.9,352,1,30,99,3.3,1,2,2,100.0,2,3,66.7,8,0,0,0,-1.0
Baylor,Iowa State,2019-09-28,2019-20,1,0,23,21,44,W,2,Regular,4,26,45,57.8,307,3,34,104,3.1,0,2,3,66.7,1,2,50.0,5,0,0,0,-1.0
Boston College,Wake Forest,2019-09-28,2019-20,1,0,24,27,51,L,-3,Regular,5,22,31,71.0,281,3,44,252,5.7,0,3,3,100.0,1,1,100.0,6,1,2,3,-1.0
Florida,Towson,2019-09-28,2019-20,1,0,38,0,38,W,38,Regular,5,24,28,85.7,262,3,32,160,5.0,2,5,5,100.0,1,1,100.0,8,0,0,0,-1.0
Florida State,North Carolina State,2019-09-28,2019-20,1,0,31,13,44,W,18,Regular,5,29,40,72.5,316,3,32,53,1.7,1,4,4,100.0,1,2,50.0,7,0,0,0,-1.0
Iowa,Middle Tennessee State,2019-09-28,2019-20,1,0,48,3,51,W,45,Regular,4,20,29,69.0,293,2,51,351,6.9,4,6,6,100.0,2,3,66.7,12,0,0,0,-1.0
Liberty,New Mexico,2019-09-28,2019-20,1,0,17,10,27,W,7,Regular,5,24,36,66.7,306,2,30,161,5.4,0,2,2,100.0,1,2,50.0,5,1,0,1,-1.0
Louisiana-Monroe,South Alabama,2019-09-28,2019-20,1,0,30,17,47,W,13,Regular,4,17,25,68.0,286,3,30,144,4.8,1,3,4,75.0,1,1,100.0,6,0,0,0,-1.0
Massachusetts,Akron,2019-09-28,2019-20,1,0,37,29,66,W,8,Regular,5,19,33,57.6,213,2,42,220,5.2,1,4,4,100.0,3,3,100.0,13,0,1,1,-1.0
Miami (OH),Buffalo,2019-09-28,2019-20,1,0,34,20,54,W,14,Regular,5,8,18,44.4,120,1,55,145,2.6,2,4,4,100.0,2,2,100.0,10,0,0,0,-1.0
Michigan,Rutgers,2019-09-28,2019-20,1,0,52,0,52,W,52,Regular,4,20,27,74.1,335,2,41,141,3.4,5,7,7,100.0,1,1,100.0,10,0,1,1,-1.0
Michigan State,Indiana,2019-09-28,2019-20,1,0,40,31,71,W,9,Regular,5,18,36,50.0,300,3,33,145,4.4,1,4,4,100.0,2,3,66.7,10,0,0,0,-1.0
New Mexico State,Fresno State,2019-09-28,2019-20,1,0,17,30,47,L,-13,Regular,5,26,47,55.3,210,1,22,105,4.8,1,2,2,100.0,1,2,50.0,5,0,3,3,-1.0
North Texas,Houston,2019-09-28,2019-20,1,0,25,46,71,L,-21,Regular,5,36,58,62.1,360,2,30,96,3.2,1,1,1,100.0,2,2,100.0,7,0,0,0,-1.0
Notre Dame,Virginia,2019-09-28,2019-20,1,0,35,20,55,W,15,Regular,4,17,25,68.0,165,0,35,178,5.1,4,5,5,100.0,0,1,0.0,5,1,0,1,-1.0
Oklahoma,Texas Tech,2019-09-28,2019-20,1,0,55,16,71,W,39,Regular,4,23,34,67.6,443,3,29,203,7.0,4,7,7,100.0,2,2,100.0,13,0,1,1,-1.0
Oklahoma State,Kansas State,2019-09-28,2019-20,1,0,26,13,39,W,13,Regular,5,16,25,64.0,153,1,44,373,8.5,1,2,2,100.0,4,4,100.0,14,0,2,2,-1.0
Old Dominion,East Carolina,2019-09-28,2019-20,1,0,21,24,45,L,-3,Regular,4,20,30,66.7,203,0,42,90,2.1,2,1,1,100.0,2,2,100.0,7,1,2,3,-1.0
Oregon State,Stanford,2019-09-28,2019-20,1,0,28,31,59,L,-3,Regular,4,27,39,69.2,337,1,33,164,5.0,3,4,4,100.0,0,2,0.0,4,0,0,0,-1.0
Pittsburgh,Delaware,2019-09-28,2019-20,1,0,17,14,31,W,3,Regular,5,23,37,62.2,271,2,39,172,4.4,0,2,2,100.0,1,2,50.0,5,1,1,2,-1.0
Purdue,Minnesota,2019-09-28,2019-20,1,0,31,38,69,L,-7,Regular,4,27,49,55.1,291,2,33,123,3.7,2,4,4,100.0,1,1,100.0,7,0,2,2,-1.0
Rice,Louisiana Tech,2019-09-28,2019-20,1,0,20,23,43,L,-3,Regular,5,16,26,61.5,148,0,47,204,4.3,2,2,2,100.0,2,3,66.7,8,0,1,1,-1.0
South Carolina,Kentucky,2019-09-28,2019-20,1,0,24,7,31,W,17,Regular,5,15,27,55.6,140,0,46,247,5.4,3,3,3,100.0,1,1,100.0,6,1,0,1,-1.0
Southern Mississippi,Texas-El Paso,2019-09-28,2019-20,1,0,31,13,44,W,18,Regular,5,19,28,67.9,351,3,36,169,4.7,1,4,4,100.0,1,2,50.0,7,1,0,1,-1.0
Syracuse,Holy Cross,2019-09-28,2019-20,1,0,41,3,44,W,38,Regular,5,23,36,63.9,286,4,36,143,4.0,1,5,5,100.0,2,2,100.0,11,2,1,3,-1.0
Temple,Georgia Tech,2019-09-28,2019-20,1,0,24,2,26,W,22,Regular,4,9,22,40.9,127,0,48,198,4.1,2,3,3,100.0,1,1,100.0,6,0,1,1,-1.0
Texas Christian,Kansas,2019-09-28,2019-20,1,0,51,14,65,W,37,Regular,4,19,27,70.4,306,2,61,319,5.2,4,6,6,100.0,1,2,50.0,9,0,0,0,-1.0
Toledo,Brigham Young,2019-09-28,2019-20,1,0,28,21,49,W,7,Regular,4,17,28,60.7,206,1,56,242,4.3,2,2,2,100.0,2,2,100.0,8,2,1,3,-1.0
Troy,Arkansas State,2019-09-28,2019-20,1,0,43,50,93,L,-7,Regular,4,34,58,58.6,367,4,33,145,4.4,1,4,4,100.0,3,3,100.0,13,1,1,2,-1.0
Utah,Washington State,2019-09-28,2019-20,1,0,38,13,51,W,25,Regular,5,21,30,70.0,334,2,41,192,4.7,3,5,5,100.0,1,1,100.0,8,0,0,0,-1.0
Utah State,Colorado State,2019-09-28,2019-20,1,0,34,24,58,W,10,Regular,4,17,33,51.5,204,2,54,242,4.5,0,4,4,100.0,2,2,100.0,10,2,2,4,-1.0
Vanderbilt,Northern Illinois,2019-09-28,2019-20,1,0,24,18,42,W,6,Regular,4,21,28,75.0,189,1,23,189,8.2,2,3,3,100.0,1,1,100.0,6,0,0,0,-1.0
Washington,Southern California,2019-09-28,2019-20,1,0,28,14,42,W,14,Regular,5,16,26,61.5,180,0,34,194,5.7,3,2,2,100.0,2,2,100.0,8,1,0,1,-1.0
Western Kentucky,Alabama-Birmingham,2019-09-28,2019-20,1,0,20,13,33,W,7,Regular,4,15,24,62.5,189,2,29,33,1.1,0,2,2,100.0,2,2,100.0,8,1,0,1,-1.0
Miami (FL),Virginia,2019-10-11,2019-20,1,0,17,9,26,W,8,Regular,6,16,27,59.3,182,1,25,83,3.3,1,2,2,100.0,1,1,100.0,5,0,0,0,-1.0
Oregon,Colorado,2019-10-11,2019-20,1,0,45,3,48,W,42,Regular,6,19,35,54.3,275,2,36,252,7.0,4,6,6,100.0,1,1,100.0,9,0,0,0,-1.0
North Carolina State,Syracuse,2019-10-10,2019-20,1,0,16,10,26,W,6,Regular,6,18,31,58.1,260,1,34,104,3.1,0,1,1,100.0,3,3,100.0,10,0,1,1,-1.0
Buffalo,Ohio,2019-10-05,2019-20,1,0,20,21,41,L,-1,Regular,6,16,23,69.6,197,2,43,181,4.2,1,2,3,66.7,0,2,0.0,2,1,0,1,-1.0
Central Michigan,Eastern Michigan,2019-10-05,2019-20,1,0,42,16,58,W,26,Regular,6,15,24,62.5,279,2,45,308,6.8,4,6,6,100.0,0,2,0.0,6,1,1,2,-1.0
Colorado,Arizona,2019-10-05,2019-20,1,0,30,35,65,L,-5,Regular,5,29,44,65.9,337,2,37,159,4.3,1,3,3,100.0,3,3,100.0,12,0,0,0,-1.0
Colorado State,San Diego State,2019-10-05,2019-20,1,0,10,24,34,L,-14,Regular,6,19,32,59.4,217,1,25,18,0.7,0,1,1,100.0,1,1,100.0,4,1,3,4,-1.0
Duke,Pittsburgh,2019-10-05,2019-20,1,0,30,33,63,L,-3,Regular,5,18,45,40.0,165,1,44,123,2.8,3,1,1,100.0,1,1,100.0,4,3,3,6,-1.0
Florida,Auburn,2019-10-05,2019-20,1,0,24,13,37,W,11,Regular,6,25,39,64.1,266,2,33,132,4.0,1,3,3,100.0,1,1,100.0,6,4,0,4,-1.0
Florida International,Massachusetts,2019-10-05,2019-20,1,0,44,0,44,W,44,Regular,5,19,33,57.6,263,2,55,278,5.1,2,5,5,100.0,3,3,100.0,14,1,0,1,-1.0
Georgia State,Arkansas State,2019-10-05,2019-20,1,0,52,38,90,W,14,Regular,5,29,41,70.7,382,1,58,340,5.9,6,7,7,100.0,1,2,50.0,10,0,0,0,-1.0
Louisiana-Monroe,Memphis,2019-10-05,2019-20,1,0,33,52,85,L,-19,Regular,5,24,45,53.3,319,2,44,256,5.8,2,3,3,100.0,2,3,66.7,9,0,1,1,-1.0
Louisville,Boston College,2019-10-05,2019-20,1,0,41,39,80,W,2,Regular,5,23,34,67.6,428,2,44,236,5.4,3,5,5,100.0,2,3,66.7,11,0,0,0,-1.0
Louisiana State,Utah State,2019-10-05,2019-20,1,0,42,6,48,W,36,Regular,5,28,39,71.8,353,5,51,248,4.9,1,6,6,100.0,0,1,0.0,6,1,1,2,-1.0
Michigan,Iowa,2019-10-05,2019-20,1,0,10,3,13,W,7,Regular,5,14,26,53.8,147,0,32,124,3.9,1,1,1,100.0,1,3,33.3,4,0,1,1,-1.0
Middle Tennessee State,Marshall,2019-10-05,2019-20,1,0,24,13,37,W,11,Regular,5,17,30,56.7,261,1,37,140,3.8,2,3,3,100.0,1,2,50.0,6,0,0,0,-1.0
Minnesota,Illinois,2019-10-05,2019-20,1,0,40,17,57,W,23,Regular,5,9,17,52.9,155,3,52,332,6.4,2,4,4,100.0,2,2,100.0,10,1,1,2,-1.0
Missouri,Troy,2019-10-05,2019-20,1,0,42,10,52,W,32,Regular,5,18,27,66.7,278,3,36,165,4.6,2,6,6,100.0,0,2,0.0,6,0,0,0,-1.0
Navy,Air Force,2019-10-05,2019-20,1,0,34,25,59,W,9,Regular,4,6,8,75.0,162,0,49,215,4.4,4,4,4,100.0,0,1,0.0,4,2,0,2,-1.0
Nebraska,Northwestern,2019-10-05,2019-20,1,0,13,10,23,W,3,Regular,6,15,25,60.0,186,0,40,133,3.3,1,1,1,100.0,2,3,66.7,7,0,0,0,-1.0
New Mexico State,Liberty,2019-10-05,2019-20,1,0,13,20,33,L,-7,Regular,6,20,31,64.5,265,0,34,131,3.9,1,1,1,100.0,2,2,100.0,7,1,2,3,-1.0
Northern Illinois,Ball State,2019-10-05,2019-20,1,0,20,27,47,L,-7,Regular,5,21,43,48.8,241,0,30,148,4.9,2,2,2,100.0,2,2,100.0,8,2,1,3,-1.0
Notre Dame,Bowling Green State,2019-10-05,2019-20,1,0,52,0,52,W,52,Regular,5,21,27,77.8,340,6,34,233,6.9,1,7,7,100.0,1,1,100.0,10,0,0,0,-1.0
Ohio State,Michigan State,2019-10-05,2019-20,1,0,34,10,44,W,24,Regular,6,17,25,68.0,206,2,49,323,6.6,2,4,4,100.0,2,3,66.7,10,1,1,2,-1.0
Mississippi,Vanderbilt,2019-10-05,2019-20,1,0,31,6,37,W,25,Regular,6,10,18,55.6,99,0,44,413,9.4,4,4,4,100.0,1,1,100.0,7,0,0,0,-1.0
Oregon,California,2019-10-05,2019-20,1,0,17,7,24,W,10,Regular,5,20,33,60.6,214,1,40,190,4.8,1,2,2,100.0,1,2,50.0,5,2,1,3,-1.0
Penn State,Purdue,2019-10-05,2019-20,1,0,35,7,42,W,28,Regular,5,20,29,69.0,264,3,46,196,4.3,2,5,5,100.0,0,1,0.0,5,2,1,3,-1.0
Rutgers,Maryland,2019-10-05,2019-20,1,0,7,48,55,L,-41,Regular,5,13,25,52.0,163,0,47,151,3.2,1,1,1,100.0,0,2,0.0,1,0,2,2,-1.0
Southern Methodist,Tulsa,2019-10-05,2019-20,1,0,43,37,80,W,6,Regular,6,24,42,57.1,310,1,49,130,2.7,3,4,5,80.0,1,1,100.0,7,2,0,2,-1.0
Stanford,Washington,2019-10-05,2019-20,1,0,23,13,36,W,10,Regular,6,21,31,67.7,293,1,43,189,4.4,1,2,2,100.0,3,3,100.0,11,0,0,0,-1.0
Tennessee,Georgia,2019-10-05,2019-20,1,0,14,43,57,L,-29,Regular,5,15,33,45.5,273,2,29,70,2.4,0,2,2,100.0,0,1,0.0,2,1,1,2,-1.0
Texas Tech,Oklahoma State,2019-10-05,2019-20,1,0,45,35,80,W,10,Regular,5,26,44,59.1,424,4,35,162,4.6,1,4,4,100.0,3,4,75.0,13,0,0,0,-1.0
Toledo,Western Michigan,2019-10-05,2019-20,1,0,31,24,55,W,7,Regular,5,14,22,63.6,200,2,53,275,5.2,2,4,4,100.0,1,2,50.0,7,1,1,2,-1.0
UCLA,Oregon State,2019-10-05,2019-20,1,0,31,48,79,L,-17,Regular,6,27,41,65.9,236,1,48,256,5.3,2,4,4,100.0,1,1,100.0,7,0,0,0,-1.0
Texas-El Paso,Texas-San Antonio,2019-10-05,2019-20,1,0,16,26,42,L,-10,Regular,5,16,31,51.6,181,1,30,99,3.3,1,1,1,100.0,1,1,100.0,4,0,0,0,-1.0
West Virginia,Texas,2019-10-05,2019-20,1,0,31,42,73,L,-11,Regular,5,31,46,67.4,367,3,23,96,4.2,1,4,4,100.0,1,3,33.3,7,0,4,4,-1.0
Cincinnati,Central Florida,2019-10-04,2019-20,1,0,27,24,51,W,3,Regular,5,17,31,54.8,149,2,41,192,4.7,0,3,3,100.0,2,2,100.0,9,0,1,1,-1.0
Stanford,UCLA,2019-10-17,2019-20,1,0,16,34,50,L,-18,Regular,7,15,32,46.9,143,0,30,55,1.8,1,1,1,100.0,1,1,100.0,4,1,0,1,-1.0
Troy,South Alabama,2019-10-16,2019-20,1,0,37,13,50,W,24,Regular,6,21,31,67.7,212,2,51,220,4.3,1,4,4,100.0,3,4,75.0,13,1,2,3,-1.0
Arizona,Washington,2019-10-12,2019-20,1,0,27,51,78,L,-24,Regular,6,16,33,48.5,209,1,39,151,3.9,2,3,3,100.0,2,2,100.0,9,3,1,4,-1.0
Arizona State,Washington State,2019-10-12,2019-20,1,0,38,34,72,W,4,Regular,6,26,36,72.2,363,3,32,169,5.3,2,5,5,100.0,1,1,100.0,8,0,0,0,-1.0
Baylor,Texas Tech,2019-10-12,2019-20,1,0,33,30,63,W,3,Regular,6,24,38,63.2,352,0,38,173,4.6,4,3,3,100.0,2,3,66.7,9,0,3,3,-1.0
Boise State,Hawaii,2019-10-12,2019-20,1,0,59,37,96,W,22,Regular,6,21,37,56.8,315,5,39,203,5.2,3,8,8,100.0,1,1,100.0,11,1,0,1,-1.0
Bowling Green State,Toledo,2019-10-12,2019-20,1,0,20,7,27,W,13,Regular,6,14,21,66.7,185,1,41,240,5.9,1,2,2,100.0,2,2,100.0,8,0,1,1,-1.0
Central Michigan,New Mexico State,2019-10-12,2019-20,1,0,42,28,70,W,14,Regular,7,14,24,58.3,134,2,56,352,6.3,3,4,4,100.0,2,2,100.0,10,1,0,1,-1.0
Clemson,Florida State,2019-10-12,2019-20,1,0,45,14,59,W,31,Regular,6,24,38,63.2,232,3,53,320,6.0,2,6,6,100.0,1,2,50.0,9,1,1,2,-1.0
Coastal Carolina,Georgia State,2019-10-12,2019-20,1,0,21,31,52,L,-10,Regular,6,19,31,61.3,217,2,27,105,3.9,0,1,1,100.0,2,2,100.0,7,2,0,2,-1.0
Duke,Georgia Tech,2019-10-12,2019-20,1,0,41,23,64,W,18,Regular,6,11,20,55.0,176,0,55,197,3.6,4,5,5,100.0,2,2,100.0,11,0,0,0,-1.0
Eastern Michigan,Ball State,2019-10-12,2019-20,1,0,23,29,52,L,-6,Regular,6,20,36,55.6,283,1,33,89,2.7,2,2,3,66.7,1,1,100.0,5,1,3,4,-1.0
Florida Atlantic,Middle Tennessee State,2019-10-12,2019-20,1,0,28,13,41,W,15,Regular,6,16,31,51.6,161,1,40,203,5.1,2,2,3,66.7,2,2,100.0,8,0,0,0,-1.0
Georgia,South Carolina,2019-10-12,2019-20,1,0,17,20,37,L,-3,Regular,6,28,52,53.8,295,1,43,173,4.0,1,2,2,100.0,1,3,33.3,5,1,3,4,-1.0
Houston,Cincinnati,2019-10-12,2019-20,1,0,23,38,61,L,-15,Regular,6,10,30,33.3,234,3,37,190,5.1,0,2,2,100.0,1,1,100.0,5,1,4,5,-1.0
Illinois,Michigan,2019-10-12,2019-20,1,0,25,42,67,L,-17,Regular,6,16,29,55.2,192,1,43,64,1.5,2,2,2,100.0,1,1,100.0,5,2,0,2,-1.0
Kentucky,Arkansas,2019-10-12,2019-20,1,0,24,20,44,W,4,Regular,6,8,12,66.7,88,1,54,330,6.1,2,3,3,100.0,1,2,50.0,6,1,0,1,-1.0
Louisiana Tech,Massachusetts,2019-10-12,2019-20,1,0,69,21,90,W,48,Regular,6,19,35,54.3,304,4,38,385,10.1,4,9,9,100.0,2,2,100.0,15,2,1,3,-1.0
Louisiana State,Florida,2019-10-12,2019-20,1,0,42,28,70,W,14,Regular,6,21,24,87.5,293,3,24,218,9.1,3,6,6,100.0,0,1,0.0,6,0,0,0,-1.0
Marshall,Old Dominion,2019-10-12,2019-20,1,0,31,17,48,W,14,Regular,6,20,32,62.5,208,1,46,236,5.1,3,4,4,100.0,1,1,100.0,7,0,0,0,-1.0
Missouri,Mississippi,2019-10-12,2019-20,1,0,38,27,65,W,11,Regular,6,23,35,65.7,329,1,43,233,5.4,3,2,4,50.0,4,4,100.0,14,1,1,2,-1.0
Nevada,San Jose State,2019-10-12,2019-20,1,0,41,38,79,W,3,Regular,6,22,37,59.5,352,1,51,189,3.7,3,5,5,100.0,2,2,100.0,11,1,2,3,-1.0
Notre Dame,Southern California,2019-10-12,2019-20,1,0,30,27,57,W,3,Regular,6,17,32,53.1,165,1,48,308,6.4,2,3,3,100.0,3,3,100.0,12,0,0,0,-1.0
Oregon State,Utah,2019-10-12,2019-20,1,0,7,52,59,L,-45,Regular,6,22,42,52.4,169,1,22,48,2.2,0,1,1,100.0,0,2,0.0,1,0,1,1,-1.0
Purdue,Maryland,2019-10-12,2019-20,1,0,40,14,54,W,26,Regular,6,33,41,80.5,420,3,37,127,3.4,1,4,4,100.0,2,3,66.7,10,1,0,1,-1.0
San Diego State,Wyoming,2019-10-12,2019-20,1,0,26,22,48,W,4,Regular,6,21,32,65.6,209,2,36,120,3.3,1,2,2,100.0,2,3,66.7,8,0,0,0,-1.0
Southern Mississippi,North Texas,2019-10-12,2019-20,1,0,45,27,72,W,18,Regular,6,29,36,80.6,421,3,37,142,3.8,3,4,5,80.0,1,1,100.0,7,0,0,0,-1.0
Temple,Memphis,2019-10-12,2019-20,1,0,30,28,58,W,2,Regular,6,24,37,64.9,263,2,48,193,4.0,1,3,3,100.0,3,3,100.0,12,2,0,2,-1.0
Tennessee,Mississippi State,2019-10-12,2019-20,1,0,20,10,30,W,10,Regular,6,10,14,71.4,167,1,44,190,4.3,1,2,2,100.0,2,2,100.0,8,0,2,2,-1.0
Texas A&M,Alabama,2019-10-12,2019-20,1,0,28,47,75,L,-19,Regular,6,24,42,57.1,264,2,28,125,4.5,1,2,2,100.0,2,2,100.0,8,1,0,1,-1.0
Tulsa,Navy,2019-10-12,2019-20,1,0,17,45,62,L,-28,Regular,6,23,49,46.9,254,1,29,69,2.4,1,2,2,100.0,1,2,50.0,5,0,0,0,-1.0
Vanderbilt,Nevada-Las Vegas,2019-10-12,2019-20,1,0,10,34,44,L,-24,Regular,6,16,41,39.0,140,0,22,166,7.5,1,1,1,100.0,1,2,50.0,4,1,1,2,-1.0
Virginia Tech,Rhode Island,2019-10-12,2019-20,1,0,34,17,51,W,17,Regular,6,16,28,57.1,261,3,40,224,5.6,1,4,4,100.0,2,2,100.0,10,0,0,0,-1.0
Wake Forest,Louisville,2019-10-12,2019-20,1,0,59,62,121,L,-3,Regular,6,33,56,58.9,423,5,46,245,5.3,3,8,8,100.0,1,1,100.0,11,1,2,3,-1.0
Western Kentucky,Army,2019-10-12,2019-20,1,0,17,8,25,W,9,Regular,6,21,30,70.0,140,0,51,225,4.4,2,2,2,100.0,1,2,50.0,5,0,0,0,-1.0
Western Michigan,Miami (OH),2019-10-12,2019-20,1,0,38,16,54,W,22,Regular,7,15,25,60.0,137,2,40,173,4.3,2,5,5,100.0,1,1,100.0,8,0,1,1,-1.0
Wisconsin,Michigan State,2019-10-12,2019-20,1,0,38,0,38,W,38,Regular,6,18,21,85.7,180,1,46,222,4.8,3,5,5,100.0,1,1,100.0,8,0,0,0,-1.0
Michigan State,Western Michigan,2015-09-04,2015-16,0,0,37,24,61,W,-13,Regular,1,15,31,48.4,256,2,40,196,4.9,3,4,4,100.0,1,1,100.0,7,1,0,1,5.333333333333333
Washington,Boise State,2015-09-04,2015-16,0,0,13,16,29,L,3,Regular,1,20,35,57.1,150,0,22,29,1.3,0,1,1,100.0,2,3,66.7,7,0,1,1,-1.0
Colorado,Hawaii,2015-09-03,2015-16,0,0,20,28,48,L,8,Regular,1,23,40,57.5,156,0,53,215,4.1,2,2,2,100.0,2,2,100.0,8,2,1,3,-1.0
Duke,Tulane,2015-09-03,2015-16,0,0,37,7,44,W,-30,Regular,1,29,44,65.9,324,2,49,206,4.2,1,4,4,100.0,3,3,100.0,13,2,0,2,21.0
Michigan,Utah,2015-09-03,2015-16,0,0,17,24,41,L,7,Regular,1,27,43,62.8,279,2,29,76,2.6,0,2,2,100.0,1,2,50.0,5,0,3,3,15.9
Ohio,Idaho,2015-09-03,2015-16,0,0,45,28,73,W,-17,Regular,1,20,25,80.0,284,3,38,205,5.4,2,6,6,100.0,1,2,50.0,9,1,0,1,2.2666666666666666
Oklahoma State,Central Michigan,2015-09-03,2015-16,0,0,24,13,37,W,-11,Regular,1,22,32,68.8,266,1,35,153,4.4,2,3,3,100.0,1,3,33.3,6,0,0,0,13.923076923076923
South Carolina,North Carolina,2015-09-03,2015-16,0,1,17,13,30,W,-4,Regular,1,12,27,44.4,140,1,47,254,5.4,1,2,2,100.0,1,2,50.0,5,0,0,0,-1.0
Texas Christian,Minnesota,2015-09-03,2015-16,0,0,23,17,40,W,-6,Regular,1,26,42,61.9,246,1,44,203,4.6,1,2,2,100.0,3,4,75.0,11,1,1,2,5.866666666666666
Texas-San Antonio,Arizona,2015-09-03,2015-16,0,0,32,42,74,L,10,Regular,1,25,45,55.6,332,2,50,193,3.9,2,2,3,66.7,2,4,50.0,8,1,1,2,-1.0
Washington State,Rutgers,2015-09-12,2015-16,0,0,37,34,71,W,-3,Regular,2,47,66,71.2,478,4,16,81,5.1,0,4,4,100.0,3,3,100.0,13,0,0,0,21.5
Western Michigan,Georgia Southern,2015-09-12,2015-16,0,0,17,43,60,L,26,Regular,2,24,36,66.7,227,2,26,25,1.0,0,0,1,0.0,1,1,100.0,3,1,3,4,-1.0
Miami (FL),Florida Atlantic,2015-09-11,2015-16,0,0,44,20,64,W,-24,Regular,2,22,34,64.7,300,1,44,226,5.1,4,5,5,100.0,3,4,75.0,14,0,0,0,-1.0
Louisiana Tech,Western Kentucky,2015-09-10,2015-16,0,0,38,41,79,L,3,Regular,2,28,49,57.1,357,2,31,223,7.2,3,5,5,100.0,1,1,100.0,8,1,1,2,-1.0
Ohio State,Virginia Tech,2015-09-07,2015-16,0,0,42,24,66,W,-18,Regular,1,10,19,52.6,212,3,37,360,9.7,3,6,6,100.0,0,1,0.0,6,2,1,3,-1.0
Purdue,Marshall,2015-09-06,2015-16,0,0,31,41,72,L,10,Regular,1,31,48,64.6,270,1,47,184,3.9,3,4,4,100.0,1,2,50.0,7,0,4,4,-1.0
Arizona State,Texas A&M,2015-09-05,2015-16,0,1,17,38,55,L,21,Regular,1,25,41,61.0,199,1,41,92,2.2,1,2,2,100.0,1,1,100.0,5,2,0,2,16.0
Bowling Green State,Tennessee,2015-09-05,2015-16,0,1,30,59,89,L,29,Regular,1,29,51,56.9,433,2,34,124,3.6,1,3,3,100.0,3,4,75.0,12,1,0,1,-1.0
Brigham Young,Nebraska,2015-09-05,2015-16,0,0,33,28,61,W,-5,Regular,1,28,46,60.9,379,2,26,132,5.1,2,3,3,100.0,2,2,100.0,9,0,1,1,22.0
Florida Atlantic,Tulsa,2015-09-05,2015-16,0,0,44,47,91,L,3,Regular,1,23,35,65.7,263,2,61,300,4.9,3,5,5,100.0,3,4,75.0,14,0,0,0,-1.0
Louisville,Auburn,2015-09-05,2015-16,0,1,24,31,55,L,7,Regular,1,17,33,51.5,167,0,48,238,5.0,3,3,3,100.0,1,3,33.3,6,1,1,2,-1.0
Mississippi State,Southern Mississippi,2015-09-05,2015-16,0,0,34,16,50,W,-18,Regular,1,22,38,57.9,237,2,28,205,7.3,1,4,4,100.0,2,2,100.0,10,2,0,2,22.8
Old Dominion,Eastern Michigan,2015-09-05,2015-16,0,0,38,34,72,W,-4,Regular,1,18,32,56.3,184,1,41,229,5.6,4,5,5,100.0,1,1,100.0,8,0,0,0,-1.0
Penn State,Temple,2015-09-05,2015-16,0,0,10,27,37,L,17,Regular,1,11,25,44.0,103,0,27,77,2.9,1,1,1,100.0,1,1,100.0,4,0,1,1,-1.0
Texas State,Florida State,2015-09-05,2015-16,0,0,16,59,75,L,43,Regular,1,26,42,61.9,168,1,33,132,4.0,1,1,2,50.0,1,1,100.0,4,1,0,1,-1.0
Nevada-Las Vegas,Northern Illinois,2015-09-05,2015-16,0,0,30,38,68,L,8,Regular,1,22,40,55.0,329,2,47,164,3.5,1,3,3,100.0,3,3,100.0,12,0,1,1,-1.0
Texas-El Paso,Arkansas,2015-09-05,2015-16,0,0,13,48,61,L,35,Regular,1,14,19,73.7,146,0,34,58,1.7,1,1,1,100.0,2,2,100.0,7,2,1,3,-1.0
Virginia,UCLA,2015-09-05,2015-16,0,0,16,34,50,L,18,Regular,1,21,35,60.0,238,1,34,98,2.9,0,1,1,100.0,3,3,100.0,10,0,1,1,-1.0
Wisconsin,Alabama,2015-09-05,2015-16,0,1,17,35,52,L,18,Regular,1,26,39,66.7,228,2,21,40,1.9,0,2,2,100.0,1,2,50.0,5,0,1,1,21.375
