School,Opponent,Date,Season,AtHome,NeutralLocation,Score,OppScore,Total,Outcome,Spread,Season.Type,GameNumber,PassCmp,PassAtt,PassPct,PassYds,PassTD,RushAtt,RushYds,RushAvg,RushTD,XPM,XPA,XPPercent,FGM,FGA,FGPercent,KickPts,Fum,Int,TotalTO,SeasonRanking
Louisiana-Monroe,Nicholls State,2015-09-12,2015-16,1,0,47,0,47,W,47,Regular,2,28,38,73.7,391,3,38,202,5.3,3,6,6,100.0,1,1,100.0,9,0,0,0,-1.0
Louisville,Houston,2015-09-12,2015-16,1,0,31,34,65,L,-3,Regular,2,27,45,60.0,325,2,26,70,2.7,2,4,4,100.0,1,2,50.0,7,2,2,4,-1.0
Maryland,Bowling Green State,2015-09-12,2015-16,1,0,27,48,75,L,-21,Regular,2,16,33,48.5,185,2,26,156,6.0,0,3,3,100.0,2,2,100.0,9,1,3,4,-1.0
Michigan,Oregon State,2015-09-12,2015-16,1,0,35,7,42,W,28,Regular,2,18,26,69.2,180,0,48,225,4.7,4,3,3,100.0,2,2,100.0,9,1,1,2,15.9
Michigan State,Oregon,2015-09-12,2015-16,1,0,31,28,59,W,3,Regular,2,20,32,62.5,192,2,37,197,5.3,2,4,4,100.0,1,2,50.0,7,0,1,1,5.333333333333333
Mississippi State,Louisiana State,2015-09-12,2015-16,1,0,19,21,40,L,-2,Regular,2,34,54,63.0,335,1,26,43,1.7,1,1,1,100.0,2,3,66.7,7,0,0,0,22.8
Nebraska,South Alabama,2015-09-12,2015-16,1,0,48,9,57,W,39,Regular,2,26,38,68.4,303,3,37,258,7.0,3,6,6,100.0,2,2,100.0,12,0,1,1,-1.0
Nevada,Arizona,2015-09-12,2015-16,1,0,20,44,64,L,-24,Regular,2,18,34,52.9,159,2,42,168,4.0,0,2,2,100.0,2,2,100.0,8,0,1,1,-1.0
New Mexico,Tulsa,2015-09-12,2015-16,1,0,21,40,61,L,-19,Regular,2,11,21,52.4,166,1,47,224,4.8,2,3,3,100.0,0,1,0.0,3,1,1,2,-1.0
New Mexico State,Georgia State,2015-09-12,2015-16,1,0,32,34,66,L,-2,Regular,2,31,55,56.4,445,3,23,84,3.7,1,2,4,50.0,0,1,0.0,2,0,1,1,-1.0
North Carolina,North Carolina A&T,2015-09-12,2015-16,1,0,53,14,67,W,39,Regular,2,20,27,74.1,248,3,44,215,4.9,4,6,6,100.0,1,1,100.0,9,0,0,0,13.166666666666666
North Carolina State,Eastern Kentucky,2015-09-12,2015-16,1,0,35,0,35,W,35,Regular,2,21,30,70.0,244,1,48,199,4.1,4,5,5,100.0,0,1,0.0,5,1,0,1,-1.0
Northern Illinois,Murray State,2015-09-12,2015-16,1,0,57,26,83,W,31,Regular,2,31,41,75.6,389,4,43,254,5.9,3,6,8,75.0,1,1,100.0,9,2,0,2,-1.0
Northwestern,Eastern Illinois,2015-09-12,2015-16,1,0,41,0,41,W,41,Regular,2,11,16,68.8,152,1,69,344,5.0,3,5,5,100.0,2,2,100.0,11,1,0,1,18.3
Ohio,Marshall,2015-09-12,2015-16,1,0,21,10,31,W,11,Regular,2,15,28,53.6,156,1,51,229,4.5,2,3,3,100.0,0,1,0.0,3,1,1,2,2.2666666666666666
Ohio State,Hawaii,2015-09-12,2015-16,1,0,38,0,38,W,38,Regular,2,20,34,58.8,181,0,49,182,3.7,4,5,5,100.0,1,1,100.0,8,0,0,0,-1.0
