School,Opponent,Date,Season,AtHome,NeutralLocation,Score,OppScore,Total,Outcome,Spread,Season.Type,GameNumber,PassCmp,PassAtt,PassPct,PassYds,PassTD,RushAtt,RushYds,RushAvg,RushTD,XPM,XPA,XPPercent,FGM,FGA,FGPercent,KickPts,Fum,Int,TotalTO,SeasonRanking,OppSeasonRanking,RankDiff,OppPassCmp,OppPassAtt,OppPassPct,OppPassYds,OppPassTD,OppRushAtt,OppRushYds,OppRushAvg,OppRushTD,OppXPM,OppXPA,OppXPPercent,OppFGM,OppFGA,OppFGPercent,OppKickPts,OppFum,OppInt,OppTotalTO
Colorado,Oregon,2015-10-03,2015-16,1,0,24,41,65,L,-17,Regular,5,25,42,59.5,231,1,36,77,2.1,2,3,3,100.0,1,1,100.0,6,2,1,3,26.0,14.555555555555555,11.444444444444445,13.0,21.0,61.9,176.0,2.0,60.0,361.0,6.0,3.0,5.0,5.0,100.0,2.0,2.0,100.0,11.0,0.0,1.0,1.0
Florida,Mississippi,2015-10-03,2015-16,1,0,38,10,48,W,28,Regular,5,24,29,82.8,271,4,34,84,2.5,1,2,3,66.7,2,2,100.0,8,0,0,0,13.454545454545455,14.785714285714286,-1.3311688311688314,26.0,40.0,65.0,259.0,1.0,33.0,69.0,2.1,0.0,1.0,1.0,100.0,1.0,2.0,50.0,4.0,3.0,1.0,4.0
Georgia,Alabama,2015-10-03,2015-16,1,0,10,38,48,L,-28,Regular,5,11,31,35.5,106,0,38,193,5.1,1,1,1,100.0,1,1,100.0,4,1,3,4,12.75,5.733333333333333,7.016666666666667,11.0,16.0,68.8,190.0,1.0,47.0,189.0,4.0,2.0,5.0,5.0,100.0,1.0,1.0,100.0,8.0,2.0,0.0,2.0
Georgia Tech,North Carolina,2015-10-03,2015-16,1,0,31,38,69,L,-7,Regular,5,12,21,57.1,162,1,59,255,4.3,3,4,4,100.0,1,1,100.0,7,1,1,2,17.25,13.5,3.75,15.0,26.0,57.7,182.0,1.0,31.0,231.0,7.5,4.0,5.0,5.0,100.0,1.0,2.0,50.0,8.0,0.0,0.0,0.0
Illinois,Nebraska,2015-10-03,2015-16,1,0,14,13,27,W,1,Regular,5,23,45,51.1,251,2,32,131,4.1,0,2,2,100.0,0,2,0.0,2,0,0,0,26.0,26.0,0.0,10.0,31.0,32.3,105.0,0.0,34.0,187.0,5.5,1.0,1.0,1.0,100.0,2.0,2.0,100.0,7.0,1.0,1.0,2.0
Indiana,Ohio State,2015-10-03,2015-16,1,0,27,34,61,L,-7,Regular,5,17,36,47.2,226,0,55,176,3.2,3,3,3,100.0,2,2,100.0,9,0,0,0,26.0,26.0,0.0,18.0,27.0,66.7,245.0,1.0,34.0,272.0,8.0,3.0,4.0,4.0,100.0,2.0,3.0,66.7,10.0,2.0,1.0,3.0
Iowa State,Kansas,2015-10-03,2015-16,1,0,38,13,51,W,25,Regular,4,27,37,73.0,269,2,37,243,6.6,3,5,5,100.0,1,2,50.0,8,0,2,2,26.0,26.0,0.0,23.0,37.0,62.2,250.0,1.0,33.0,38.0,1.2,0.0,1.0,2.0,50.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
Louisiana-Monroe,Georgia Southern,2015-10-03,2015-16,1,0,31,51,82,L,-20,Regular,4,21,36,58.3,232,3,26,47,1.8,0,4,4,100.0,1,1,100.0,7,0,3,3,26.0,26.0,0.0,3.0,10.0,30.0,48.0,0.0,67.0,455.0,6.8,6.0,6.0,7.0,85.7,1.0,2.0,50.0,9.0,0.0,1.0,1.0
Louisiana State,Eastern Michigan,2015-10-03,2015-16,1,0,44,22,66,W,22,Regular,5,4,14,28.6,80,0,50,391,7.8,4,5,5,100.0,3,3,100.0,14,1,0,1,10.642857142857142,26.0,-15.357142857142858,17.0,24.0,70.8,161.0,1.0,33.0,94.0,2.8,2.0,2.0,2.0,100.0,0.0,1.0,0.0,2.0,0.0,3.0,3.0
Middle Tennessee State,Vanderbilt,2015-10-03,2015-16,1,0,13,17,30,L,-4,Regular,5,32,51,62.7,286,1,23,34,1.5,0,1,1,100.0,2,2,100.0,7,2,0,2,26.0,26.0,0.0,18.0,31.0,58.1,177.0,0.0,41.0,237.0,5.8,2.0,2.0,2.0,100.0,1.0,2.0,50.0,5.0,1.0,2.0,3.0
Missouri,South Carolina,2015-10-03,2015-16,1,0,24,10,34,W,14,Regular,5,21,28,75.0,136,2,42,163,3.9,1,3,3,100.0,1,1,100.0,6,0,0,0,21.75,26.0,-4.25,17.0,30.0,56.7,186.0,1.0,34.0,112.0,3.3,0.0,1.0,1.0,100.0,1.0,2.0,50.0,4.0,0.0,3.0,3.0
Nevada,Nevada-Las Vegas,2015-10-03,2015-16,1,0,17,23,40,L,-6,Regular,5,20,44,45.5,202,1,35,141,4.0,1,2,2,100.0,1,1,100.0,5,0,1,1,26.0,26.0,0.0,13.0,19.0,68.4,134.0,0.0,44.0,167.0,3.8,2.0,2.0,3.0,66.7,1.0,1.0,100.0,5.0,0.0,1.0,1.0
New Mexico,New Mexico State,2015-10-03,2015-16,1,0,38,29,67,W,9,Regular,5,5,17,29.4,45,0,61,401,6.6,4,4,4,100.0,0,2,0.0,4,1,1,2,26.0,26.0,0.0,12.0,28.0,42.9,108.0,0.0,39.0,308.0,7.9,3.0,2.0,3.0,66.7,3.0,3.0,100.0,11.0,1.0,2.0,3.0
Washington,Oregon,2015-10-17,2015-16,1,0,20,26,46,L,-6,Regular,6,20,32,62.5,205,1,30,180,6.0,1,2,2,100.0,2,2,100.0,8,0,1,1,26.0,14.555555555555555,11.444444444444445,14.0,25.0,56.0,272.0,2.0,51.0,170.0,3.3,1.0,2.0,2.0,100.0,2.0,3.0,66.7,8.0,0.0,0.0,0.0
Washington State,Oregon State,2015-10-17,2015-16,1,0,52,31,83,W,21,Regular,6,40,52,76.9,409,6,22,111,5.0,0,7,7,100.0,1,1,100.0,10,1,2,3,21.5,26.0,-4.5,17.0,30.0,56.7,176.0,1.0,45.0,218.0,4.8,2.0,2.0,2.0,100.0,1.0,1.0,100.0,5.0,0.0,2.0,2.0
Wyoming,Nevada,2015-10-17,2015-16,1,0,28,21,49,W,7,Regular,7,18,20,90.0,213,3,51,272,5.3,1,4,4,100.0,0,2,0.0,4,0,0,0,26.0,26.0,0.0,25.0,41.0,61.0,287.0,2.0,30.0,118.0,3.9,1.0,3.0,3.0,100.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0
Brigham Young,Cincinnati,2015-10-16,2015-16,1,0,38,24,62,W,14,Regular,7,19,32,59.4,252,2,29,197,6.8,3,5,5,100.0,1,1,100.0,8,0,1,1,22.0,26.0,-4.0,16.0,31.0,51.6,220.0,1.0,46.0,121.0,2.6,2.0,3.0,3.0,100.0,1.0,2.0,50.0,6.0,0.0,0.0,0.0
Utah State,Boise State,2015-10-16,2015-16,1,0,52,26,78,W,26,Regular,6,17,24,70.8,157,3,43,177,4.1,3,7,7,100.0,1,1,100.0,10,1,0,1,26.0,22.5,3.5,25.0,50.0,50.0,299.0,0.0,30.0,34.0,1.1,3.0,2.0,2.0,100.0,2.0,2.0,100.0,8.0,5.0,3.0,8.0
Kentucky,Auburn,2015-10-15,2015-16,1,0,27,30,57,L,-3,Regular,6,27,44,61.4,359,0,33,138,4.2,3,3,3,100.0,2,2,100.0,9,0,1,1,26.0,13.5,12.5,17.0,28.0,60.7,255.0,0.0,47.0,152.0,3.2,3.0,3.0,3.0,100.0,3.0,3.0,100.0,12.0,0.0,0.0,0.0
South Alabama,Arkansas State,2015-10-13,2015-16,1,0,31,49,80,L,-18,Regular,6,18,33,54.5,273,3,32,29,0.9,1,4,4,100.0,1,1,100.0,7,2,3,5,26.0,26.0,0.0,10.0,18.0,55.6,119.0,2.0,53.0,226.0,4.3,2.0,5.0,5.0,100.0,2.0,2.0,100.0,11.0,1.0,0.0,1.0
Air Force,Wyoming,2015-10-10,2015-16,1,0,31,17,48,W,14,Regular,5,5,10,50.0,80,1,58,299,5.2,3,4,4,100.0,1,2,50.0,7,1,1,2,26.0,26.0,0.0,15.0,29.0,51.7,192.0,2.0,35.0,115.0,3.3,0.0,2.0,2.0,100.0,1.0,1.0,100.0,5.0,2.0,2.0,4.0
